"Labels","StartTime","Intensity","Concentration","Comment","TimeStamp","Operator","Outlier"
"M 200130/21 QC VBW","2020-01-30 12:06:48","58.7003812031376","0.953778695205671","","","","0"
"M 200122/01 QC VBW","2020-01-22 13:42:16","23.500125000784","0.221350861191168","","","","0"
"M 200115/17 QC VBW","2020-01-16 08:53:44","28.5557177789173","0.352243791439652","","","","0"
"M 200109/54 QC VBW","2020-01-10 08:39:51","40.7002396017552","0.366256761897452","","","","0"
"M 191217/01 QC VBW","2019-12-17 12:12:36","36.3335524461245","0.322971849438005","","","","0"
"M 191216/33 QC VBW","2019-12-17 08:50:29","28.3334884454845","0.19532198095446","","","","0"
"M 191211/09 QC VBW","2019-12-12 11:58:03","37.8573605728572","0.451589135898128","","","","0"
"M 191205/06 QC VBW","2019-12-05 11:05:17","61.222632447984","1.08506475192923","","","","0"
"M 191205/04 QC VBW","2019-12-05 11:02:15","24.3334591118631","0.304855941167232","","","","0"
"M 191128/39 QC VBW","2019-11-28 12:05:37","22.636481818928","0.253806561131902","","","","0"
"M 191128/37 QC VBW","2019-11-28 12:02:35","29.4547134557586","0.361343994786072","","","","0"
"M 191120/15 QC VBW","2019-11-21 12:15:48","95.0007640076747","1.52494199659886","","","","0"
"M 191113/01 QC VBW","2019-11-13 13:58:13","33.0001778193207","0.525187743645585","","","","0"
"M 191112/06 QC VBW","2019-11-12 15:11:27","23.5556755562631","0.254935076298574","","","","0"
"M 191111/33 QC VBW","2019-11-12 15:08:25","37.1820243650429","0.535349360092535","","","","0"
"M191031/01 QC VBW","2019-10-31 13:11:57","43.000264001996","0.663039734847425","","","","0"
"M 191030/31 QC VBW ","2019-10-30 13:52:29","35.3335395570703","0.463018829393371","","","","0"
"M 191030/29 QC VBW ","2019-10-30 13:49:27","38.5557684458614","0.526363154836099","","","","0"
"M 191024/01 QC VBW ","2019-10-24 11:09:46","40.3335577792658","0.642572845943827","","","","0"
"M 191010/10 QC VBW ","2019-10-11 10:02:24","31.3638236377382","0.491999181256296","","","","0"
"M 191008/02 QC VBW ","2019-10-08 12:16:32","31.1819858192218","0.412423980152812","","","","0"
"M 191001/01 QC VBW ","2019-10-01 11:31:53","26.6668000007573","0.327765695722245","","","","0"
"M 190925/10 QC VBW ","2019-10-01 11:28:51","19.500103000672","0.180913111249149","","","","0"
"M 190920/12 QC VBW ","2019-09-20 11:20:59","89.1673620069787","1.76653036497442","","","","0"
"M 190912/01 QC VBW ","2019-09-12 12:06:36","27.5455967281586","0.213316857695687","","","","0"
"M 190904/01 QC VBW ","2019-09-04 16:04:08","175.33529202719","3.02740230092364","","","","0"
"M 190826/14 QC VBW ","2019-08-27 09:19:45","39.2729410922793","0.302481287098108","","","","0"
