LIMS export of <Calib_2018.d80>
Version 03-CDate 2018-12-05-12-35-14

Nr;Pos;SampleName;CreationDate;ProcessTime;Amount;Unit;ConcentrateAmount;Unit;Type;State;CalFile;MethodFile;Height;Cell;Hg [ng];Concentration;Unit;DilutionWeight;FinalVolume;CalFactor;DilutionFactor;Statistics;Group;Remark;
94;3;M 181104/20;2018-12-04-14-12-23;2018-12-04-14-25-28;0,05220;g;0,05220;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,4255;0;3,4482;66,0581;µg/kg;;;1,0000;;;;;
95;4;M 181104/21;2018-12-04-14-12-25;2018-12-04-14-31-49;0,04980;g;0,04980;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2588;0;1,9939;40,0381;µg/kg;;;1,0000;;;;;
96;5;M 181104/22;2018-12-04-14-12-25;2018-12-04-14-38-10;0,05070;g;0,05070;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,6292;1;14,7229;290,3932;µg/kg;;;1,0000;;;;;
97;6;M 181104/23;2018-12-04-14-12-27;2018-12-04-14-44-31;0,04870;g;0,04870;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2750;0;2,1285;43,7064;µg/kg;;;1,0000;;;;;
98;7;M 181104/24;2018-12-04-14-12-27;2018-12-04-14-50-51;0,05050;g;0,05050;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2797;1;5,7631;114,1202;µg/kg;;;1,0000;;;;;
99;8;M 181104/25;2018-12-04-14-12-28;2018-12-04-14-57-12;0,05080;g;0,05080;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2011;0;1,5247;30,0138;µg/kg;;;1,0000;;;;;
100;9;NIST 1632 d;2018-12-04-14-12-29;2018-12-04-15-03-32;0,05060;g;0,05060;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,2244;1;4,5484;89,8903;µg/kg;;;1,0000;;1;2;;
101;10;bw;2018-12-04-15-12-28;2018-12-04-15-12-44;0,10000;g;0,10000;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,0020;0;0,0113;0,1126;µg/kg;;;1,0000;;;;;
102;11;bw;2018-12-04-15-12-37;2018-12-04-15-18-42;0,10000;g;0,10000;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,0012;0;0,0054;0,0544;µg/kg;;;1,0000;;;;;
103;12;bw;2018-12-04-15-12-38;2018-12-04-15-25-08;0,10000;g;0,10000;g;normal;finished;Calib_2018_11_test.c80;Feststoffe std.m80;0,0011;0;0,0053;0,0527;µg/kg;;;1,0000;;;;;
104;-;Amalgamator ausheizen;2018-12-05-08-51-51;2018-12-05-08-51-51;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;;0,0045;0;0,0294;;;;;1,0000;;;;;
105;-;manueller BW;2018-12-05-08-53-03;2018-12-05-08-53-03;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;BV-Method.m80;0,0045;0;0,0298;;;;;1,0000;;;;;
106;-;manueller BW;2018-12-05-08-57-46;2018-12-05-08-57-46;0,00000;g;0,00000;g;blind check;finished;Calib_2018_11_test.c80;BV-Method.m80;0,0009;0;0,0036;;;;;1,0000;;;;;
107;-;manueller BW;2018-12-05-09-15-46;2018-12-05-09-15-46;0,00000;g;0,00000;g;blind check;finished;DMA SN 18012392_ohne Z0.c80;BV-Method.m80;0,0004;1;0,0000;;;;;1,0000;;;;;
